gardiner_code,unicode_cp,unicode,hieroglyphica_code,jsesh_code,category,description,function,core
D057,130BF,U+130BF,D57,D57,D-35-005,"A leg with a bent knee (D56), with a knife with a rounded blade and rounded handle (T30) written over it.","Classifier damage, injury",C
D058,130C0,U+130C0,D58,D58,D-35-012,A human foot and lower leg.,Phonemogram,C
D059,130C1,U+130C1,D59,D59,D-35-031,"A forearm, with the palm of the hand facing upwards (D36) written over a human foot and lower leg (D58).",Phonemogram,L
D060,130C2,U+130C2,D60,D60,D-35-017,"A human foot and lower leg (D58), with a vase on its side, with liquid issuing from it (W54) on top of it.","Logogram (to be pure, to be clean)",C
D061,130C3,U+130C3,D61,D61,D-36-001,"A stylized row of three toes, with the ovals at the left side.",Phono-repeater,C
D062,130C4,U+130C4,D62,D62,D-36-002,"A stylized row of three toes, with the ovals at the right side.",Phonemogram,C
D063,130C5,U+130C5,D63,D63,D-36-007,"A stylized set of two toes, resembling a cloth wound on a pole, an emblem of divinity (R8), on top of a base with a loop at the far end.",Phonemogram,C
D064,130C6,U+130C6,D271,D271,D-28-018,A human hand with the thumb downwards and the palm curved downwards.,Logogram (hand),C
D065,130C7,U+130C7,D132,D132,D-04-015,"A sidelock, usually worn by a child.","Logogram (child, son, lad)",C
D066,130C8,U+130C8,,D66 D245,D-26-022,"An arm, bent at the elbow, forearm nearly horizontal, hand held like a fist, with a stylus angled over the tip of the fist.",Classifier to engrave,C
D067,130C9,U+130C9,,,D-38-001,,,C
D067A,130CA,U+130CA,,,D-38-002,,,C
D067B,130CB,U+130CB,,,D-38-003,,,C
D067C,130CC,U+130CC,,,D-38-004,,,C
D067D,130CD,U+130CD,,,D-38-005,,,C
D067E,130CE,U+130CE,,,D-38-006,,,C
D067F,130CF,U+130CF,,,D-38-007,,,C
D067G,130D0,U+130D0,,,D-38-008,,,C
D067H,130D1,U+130D1,,,D-38-009,,,C
E001,130D2,U+130D2,,E1,E-23-002,"A bovid (bull), standing, with outwards curving horns.",Logogram (bull),C
E002,130D3,U+130D3,E2,E2,E-23-006,"A bovid (bull), standing, with its head lowered as if to attack.",Classifier rage/aggression,C
E003,130D4,U+130D4,E3,E3,E-25-001,"A calf, standing.",Classifier calf,C
E004,130D5,U+130D5,,E4,E-23-091,"A cult image of a bovid (cow), lying down, with a sun disk (N5) with two feathers between the horns, with a flagellum (S45) on its back, and a necklace around the neck.",Classifier cow divinity,C
E005,130D6,U+130D6,E5,E5,E-23-066,"A bovid (cow), standing, head facing backwards over its body, with a calf below the cow, suckling.",Classifier concern,C
E006,130D7,U+130D7,,E6,E-09-005,"A horse, about to rear, front legs nearly vertical.",Logogram (span (of horses)/horse),C
E007,130D8,U+130D8,E7,E7,E-01-001,"A donkey/ass, standing.",Classifier donkey/ass,C
E008,130D9,U+130D9,E8,E8,E-10-008,A immature goat (kid).,Logogram (kid),C
E008A,130DA,U+130DA,E8A,E8A,E-10-009,"A immature goat (kid), rearing.",Phono-repeater,C
E009,130DB,U+130DB,E9,E9,E-05-009,"A newborn bubalis antelope, lying down, legs folded beneath the body, long tail downwards.",Phonemogram,C
E009A,130DC,U+130DC,E100,E100,E-23-062,"A bovid (cow), lying down, legs folded beneath the body.",Classifier cow (cow of the sky),C
E010,130DD,U+130DD,E10,E10,E-04-001,"A ram (Ovis longipes palaeo-aegyptiacus), standing, with a beard.",Classifier ram,C
E011,130DE,U+130DE,E11,E11,E-04-002,"A ram (Ovis longipes palaeo-aegyptiacus), standing, without a beard.",Phonemogram,C
E012,130DF,U+130DF,,E12,E-19-002,A pig.,Classifier pig,C
E013,130E0,U+130E0,E13,E13,E-08-002,"A cat, seated, tail curled over the body towards the back.",Phonemogram,C
E014,130E1,U+130E1,E14,E14,E-06-003,"A hunting hound, standing, tail curling upwards.",Classifier dog/hound,C
E015,130E2,U+130E2,E15,E15,E-07-001,"A jackal, lying down, tail downwards.",Logogram (Anubis),C
E016,130E3,U+130E3,E16,E16,E-07-017,"A jackal, lying down, tail downwards, on top of a shrine.",Logogram (privy to the secrets),C
E016A,130E4,U+130E4,,E16AEXTU,E-07-020,"A jackal, lying down, tail downwards, with a flagellum (S45) on its back, on top of a shrine.",Classifier Anubis,C
E017,130E5,U+130E5,E17,E17,E-06-004,"A jackal, standing, tail down.",Phonemogram,C
E017A,130E6,U+130E6,E141,E141,E-06-015,"A jackal, standing, tail down, head looking backwards.",Phonemogram,C
E018,130E7,U+130E7,E18,E18,E-06-018,"A jackal, standing, tail down (E17), on top of a standard used for the carrying of religious symbols, with an uraeus at the front of the standard.",Logogram (Wepwawet),C
E019,130E8,U+130E8,,E19,E-06-022,"A jackal, standing, tail down (E17), on top of a standard used for the carrying of religious symbols, with an uraeus and šdšd-protuberance at the front of the standard, with a mace (T3) written horizontally over the vertical pole of the standard.",Classifier Wepwawet,C
E020,130E9,U+130E9,E20,E20,E-02-003,"The animal of Seth, seated, tail up.",Logogram (Seth),C
E020A,130EA,U+130EA,E147,E147,E-02-004,,,C
E021,130EB,U+130EB,E21,E21,E-02-009,"The animal of Seth, lying down, tail up.",Logogram (Seth),C
E022,130EC,U+130EC,E22,E22,E-17-001,"A lion, standing, tail downwards.",Classifier (lion),C
E023,130ED,U+130ED,E23,E23,E-17-011,"A lion, lying down, tail curled over the body towards the back.",Phonemogram,C
E024,130EE,U+130EE,E24,E24,E-18-001,"A panther or leopard, standing.",Classifier leopard,C
E025,130EF,U+130EF,E25,E25,E-14-003,A hippopotamus (Hippopotamus amphibius).,Classifier hippopotamus,C
E026,130F0,U+130F0,E26,E26,E-11-001,An elephant.,Classifier elephant,C
E027,130F1,U+130F1,E27,E27,E-12-002,A giraffe.,Classifier to fortell,C
E028,130F2,U+130F2,E28,E28,E-03-001,"An oryx, standing.",Classifier oryx,C
E028A,130F3,U+130F3,,US1E28AEXTU,E-03-005,"A basket with four pieces of grain or fruit (M39) in front of an oryx, standing (E28), on top of a parcel of land with irrigation ditches (N24).","Logogram (Oryx nome, 16th nome of Upper Egypt)",C
E029,130F4,U+130F4,E29,E29,E-03-028,"A gazelle, standing, with one horn visible.",Classifier gazelle,C
E030,130F5,U+130F5,E30,E30,E-10-013,A Nubian ibex (Capra nubiana).,Classifier ibex,C
E031,130F6,U+130F6,E187,E187,E-10-007,"A goat, standing, with a seal, attached to a neck string (S20) around its neck.","Logogram (rank, diginity)",C
E032,130F7,U+130F7,E32,E32,E-20-003,A hamadryas baboon (Papio hamadryas).,"Classifier rage, fury",C
E033,130F8,U+130F8,E33,E33,E-20-004,A monkey.,Classifier monkey,C
E034,130F9,U+130F9,,E34,E-16-006,"A desert hare, lying down, with whiskers.",Phonemogram,C
E034A,130FA,U+130FA,,,E-16-005,,,L
E036,130FB,U+130FB,,US248E35VARA,E-20-007,"A hamadryas baboon (Papio hamadryas), seated, hands on knees, tail upwards.",Logogram (Thot),C
E037,130FC,U+130FC,E45,E45,E-20-033,"A hamadryas baboon (Papio hamadryas), seated, hands on knees, tail upwards, in front of a sheath or receptacle with V shaped indentation at the top, bound at the top with a loop at the backside (V36G); on top of an alabaster basin with a diamond shaped inner marking (W3).",Logogram (symbol of the cycle of time),C
E038,130FD,U+130FD,E92,E92,E-23-055,,,C
F001,130FE,U+130FE,,F1,F-03-002,The head of a bovid (ox) with outwards curving horns.,"Classifier bull, ox, cattle",C
F001A,130FF,U+130FF,F63,F63,F-03-014,"The head of a bovid (cow), without horns, with an ear.",Phonemogram,C
F002,13100,U+13100,F2,F2,F-03-004,"The head of a bovid (bull), angled forward as if to attack.",Classifier rage/aggression,C
F003,13101,U+13101,F3,F3,F-07-001,The head of a hippopotamus.,Phonemogram,C
F004,13102,U+13102,F4,F4,F-08-006,"The forepart of a lion, lying down.","Logogram (beginning, front)",C
F005,13103,U+13103,F5,F5,F-06-011,The head of a bubalis antelope.,Phonemogram,C
F006,13104,U+13104,F6,F6,F-06-009,The forepart of a bubalis antelope.,Phonemogram,C
F007,13105,U+13105,F7,F7,F-02-004,"The head of a ram (Ovis longipes palaeo-aegyptiacus), with beard.","Classifier worth, dignity, renown",C
F008,13106,U+13106,F8,F8,F-02-009,"The forepart of a ram (Ovis longipes palaeo-aegyptiacus), with beard.","Logogram (worth, dignity, renown)",C
F009,13107,U+13107,F9,F9,F-08-001,The head of a leopard.,Logogram (strength),C
F010,13108,U+13108,F10,F10,F-05-004,"The head and neck of a long-necked horned animal, with a forked end to the neck with a horizontal line over the forked end.",Classifier throat associated action,C
F011,13109,U+13109,F11,F11,F-05-003,The head and neck of a long-necked horned animal.,Classifier throat associated action,C
F012,1310A,U+1310A,F12,F12,F-05-001,The head and neck of a canine animal.,Phonemogram,C
F013,1310B,U+1310B,F13,F13,F-11-001,The horns of a bovid (ox).,Phonemogram,C
F013A,1310C,U+1310C,,,F-11-003,,,L
F014,1310D,U+1310D,F14,F14,F-11-006,"A palm branch, stripped of leaves and notched with a round notch (M4), written within the horns of a bovid (F13).",Logogram (New Year's Day),C
F015,1310E,U+1310E,F15,F15,F-11-010,"A palm branch, stripped of leaves and notched with a round notch (M4), on top of a sun disk (N5), written within the horns of a bovid (F13). ",Logogram (New Year's Day),C
F016,1310F,U+1310F,F16,F16,F-13-001,A horn of a bovid,Logogram (horn),C
F017,13110,U+13110,F17,F17,F-13-009,"A vase on its side, with liquid issuing from it (W54), written over the horn of a bovid (F16).",Logogram purification,C
F018,13111,U+13111,F18,F18,F-14-001,A tusk of an elephant.,Phonemogram,C
F019,13112,U+13112,F19,F19,F-15-004,The lower jawbone of a bovid (ox).,Classifier jaw,C
F020,13113,U+13113,F20,F20,F-16-001,A tongue.,Logogram (tongue),C
F021,13114,U+13114,F21,F21,F-17-005,"The ear of a bovid (ox), without internal detail.",Logogram (ear),C
F021A,13115,U+13115,,Ff4,F-17-007,"The ear of a bovid (ox), without internal detail, with two strokes on the base.","Logogram to hear, to listen",C
F022,13116,U+13116,F22,F22,F-18-001,The hindquarters of a seated lion or leopard.,Phonemogram,C
F023,13117,U+13117,F23,F23,F-19-010,"A foreleg of a bovid (ox), hoof orientated towards the reading direction.",Classifier foreleg/arm,C
F024,13118,U+13118,F24,F24,F-19-009,"A foreleg of a bovid (ox), hoof orientated away from the reading direction.",Classifier foreleg/arm,L
F025,13119,U+13119,F25,F25,F-19-006,The leg and hoof of a bovid (ox).,Phonemogram,C
F026,1311A,U+1311A,F26,F26,F-20-001,The skin of a goat.,Phonemogram,C
F027,1311B,U+1311B,F27,F27,F-20-005,"The skin of a cow, with the tail curved backwards.",Classifier animal,C
F028,1311C,U+1311C,F28,F28,F-20-015,"The skin of a cow, with the tail hanging straight down.","Logogram (dappled, many-coloured)",C
F029,1311D,U+1311D,F29,F29,F-20-016,"The skin of a cow, with the tail hanging straight down, pierced by an arrow with rounded fletching (T11).",Phonemogram,C
F030,1311E,U+1311E,F30,F30,F-20-031,A water skin.,Phonemogram,C
F031,1311F,U+1311F,F31,F31,F-20-037,"Three skins of foxes, tied together at the top.",Phonemogram,C
F031A,13120,U+13120,,US22F31AEXTU,F-20-035,"A simplified representation of three skins of foxes, tied together at the top.",Phonemogram,C
F032,13121,U+13121,F32,F32,F-21-006,"The udder and tail of an animal, seen from below.","Logogram (belly, body)",C
F033,13122,U+13122,F33,F33,F-22-004,The tail of an animal.,Phonemogram,C
F034,13123,U+13123,,F34,F-23-001,A heart without internal detail.,"Logogram (heart, mind, wish)",C
F035,13124,U+13124,F35,F35,F-24-004,"A windpipe and heart, with a single horizontal stroke at the top.",Phonemogram,C
F036,13125,U+13125,F36,F36,F-24-008,A windpipe and lungs.,Phonemogram,C
F037,13126,U+13126,F37,F37,F-25-030,"A spine with four ribs, with a downward curving loop at the end of the spine.","Classifier spine, vertebrae",C
F037A,13127,U+13127,F37B,F37B,F-25-016,"A spine with four ribs, written at an angle.",Logogram (to cut),C
F038,13128,U+13128,,F38,F-25-005,"A piece of spine with three vertebrae, angling forwards.","Classifier back, backbone",C
F038A,13129,U+13129,,F38C,F-25-038,,,C
F039,1312A,U+1312A,F39,F39,F-25-033,"A spine, with the spinal cord hanging out at the backside, with two blocks at the bottom.",Phonemogram,C
F040,1312B,U+1312B,F40,F40,F-25-045,"A spine, with the spinal cord hanging out at either side.","Logogram (to be long, to stretch out)",C
F041,1312C,U+1312C,F41,F41,F-26-001,"A section of vertebrae, written vertically, with a small dot on top.",Classifier slaughter/evil,C
F042,1312D,U+1312D,F42,F42,F-26-006,A rib.,Classifier rib,C
F043,1312E,U+1312E,F43,F43,F-26-010,Ribs of beef.,Classifier ribs (meat of ribs),C
F044,1312F,U+1312F,F44,F44,F-27-001,A leg-bone with meat.,Phono-repeater,C
F045,13130,U+13130,F45,F45,D-32-011,The uterus of a cow.,"Logogram (uterus, womb)",C
F045A,13131,U+13131,Aa56,Aa56,AA-21-002,An object resembling a long vertical line with two pointed lines on top.,Phonemogram,C
F046,13132,U+13132,F46,F46,F-28-004,"An intestine, with the opening to the bottom right.","Logogram (to go round, to turn round)",C
F046A,13133,U+13133,F46A,F46A,F-28-001,"An intestine, with the opening to the top left.","Logogram (to go round, to turn round)",L
F047,13134,U+13134,F47,F47,F-28-003,"An intestine, with the opening to the bottom left.","Classifier winding, intestine",L
F047A,13135,U+13135,F47A,F47A,F-28-005,"An intestine, with the opening to the top right.","Logogram (to go round, to turn round)",L
